,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,Bangkalan,ID,75.15,Clouds,-7.0455,112.7351,Ningrat traditional hotel
444,Bosaso,SO,76.57,Clouds,11.2842,49.1816,Bosaso hotel
455,Isla Aguada,MX,78.84,Clouds,18.7833,-91.4667,Puerto Sabalo Hotel
465,Rio Grande,BR,81.68,Clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
469,Paita,PE,78.46,Clouds,-5.0892,-81.1144,Victor's
475,Prado,BR,81.82,Clouds,-17.3411,-39.2208,Pousada Recanto do Prado
477,Abeokuta,NG,80.78,Rain,7.15,3.35,Green Legacy Resort
484,Sabang,ID,77.88,Rain,5.8933,95.3214,Sabang Hill
487,Iguape,BR,84.04,Clouds,-24.7081,-47.5553,Pousada dos Lampiões
497,Sungai Besar,MY,75.06,Rain,3.6746,100.9867,Green Hotel
503,San Martin,AR,88.34,Clear,-33.081,-68.4681,Hotel Lacava
506,Sri Aman,MY,77.05,Clouds,1.2376,111.4621,Mega Inn
517,Sambava,MG,78.08,Rain,-14.2667,50.1667,Royal Sava Hôtel
521,Saquarema,BR,87.84,Clouds,-22.92,-42.5103,Pousada Garota de Itaúna
529,Mangaratiba,BR,86.86,Clouds,-22.9597,-44.0406,Hotel Portobelo
532,Port-Gentil,GA,80.56,Clouds,-0.7193,8.7815,Tara-Mé
537,Honiara,SB,78.44,Clouds,-9.4333,159.95,King Solomon Hotel
540,Progreso,MX,80.71,Clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
543,Tevaitoa,PF,81.37,Clouds,-16.7833,-151.5,Chambre d'hote
545,Pedernales,DO,81.03,Clouds,18.0384,-71.744,Hostal Doña Chava
553,Opuwo,,76.33,Clouds,-18.0607,13.84,Ohakane Lodge
555,Guanaja,HN,79.57,Clouds,16.4,-85.9,Hotel Alexander
573,Hervey Bay,AU,75.99,Clear,-25.2986,152.8535,Hervey Bay Hotel
574,Touros,BR,85.05,Clouds,-5.1989,-35.4608,Pousada Atlântico
591,Mananjary,MG,79.14,Rain,-21.2167,48.3333,Ideal Hotel Annexe
592,Kununurra,AU,80.58,Rain,-15.7667,128.7333,Kununurra Country Club Resort
596,Ikom,NG,83.14,Rain,5.9667,8.7063,Gold Palm Hotels
601,Waw,SS,85.28,Clouds,7.7029,27.9953,Safari Park Hotel
604,Lima,PE,75.45,Clear,-12.0432,-77.0282,Hotel Peach Garden
621,Manaure,CO,85.12,Clear,11.7751,-72.4445,hotel palaima
631,Bontang,ID,76.41,Clouds,0.1333,117.5,Hotel Sederhana
637,Tarkwa,GH,81.84,Clouds,5.3064,-1.9847,Royal Gate Plaza & Hotel
642,Palmas,BR,80.47,Thunderstorm,-10.2128,-48.3603,Hotel Triângulo Mineiro
649,Quelimane,MZ,82.35,Clouds,-17.8786,36.8883,Mabassa
651,Hambantota,LK,75.92,Clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
660,Bouar,CF,78.28,Clouds,5.934,15.596,Mission catholique
